player_nationality,games_position,team_founded,venue_surface,league_id,team_id,venue_id,player_weight
Côte d'Ivoire,Defender,1920.0,grass,61,1063,676,74
France,Attacker,1920.0,grass,61,1063,676,76
France,Midfielder,1920.0,grass,61,1063,676,72
France,Defender,1920.0,grass,61,1063,676,81
France,Midfielder,1920.0,grass,61,1063,676,71
England,Goalkeeper,1920.0,grass,61,1063,676,76
France,Defender,1920.0,grass,61,1063,676,64
France,Midfielder,1920.0,grass,61,1063,676,70
Guinea,Defender,1920.0,grass,61,1063,676,75
Senegal,Goalkeeper,1920.0,grass,61,1063,676,80
France,Midfielder,1920.0,grass,61,1063,676,75
France,Defender,1920.0,grass,61,1063,676,72
Côte d'Ivoire,Attacker,1920.0,grass,61,1063,676,80
France,Attacker,1920.0,grass,61,1063,676,68
Peru,Defender,1920.0,grass,61,1063,676,62
Gabon,Attacker,1920.0,grass,61,1063,676,70
Uruguay,Attacker,1920.0,grass,61,1063,676,76
Mali,Attacker,1943.0,grass,61,83,662,84
Mali,Defender,1943.0,grass,61,83,662,87
France,Attacker,1943.0,grass,61,83,662,86
France,Attacker,1943.0,grass,61,83,662,77
Belgium,Attacker,1943.0,grass,61,83,662,73
France,Midfielder,1943.0,grass,61,83,662,77
Guinea,Defender,1943.0,grass,61,83,662,75
France,Attacker,1943.0,grass,61,83,662,72
France,Attacker,1943.0,grass,61,83,662,69
France,Midfielder,1943.0,grass,61,83,662,75
Belgium,Attacker,1943.0,grass,61,83,662,72
Ghana,Midfielder,1943.0,grass,61,83,662,66
France,Defender,1943.0,grass,61,83,662,74
France,Defender,1943.0,grass,61,83,662,69
Cameroon,Defender,1943.0,grass,61,83,662,79
France,Goalkeeper,1943.0,grass,61,83,662,74
France,Defender,1943.0,grass,61,83,662,89
Mali,Defender,1943.0,grass,61,83,662,74
Brazil,Defender,1943.0,grass,61,83,662,79
Congo DR,Midfielder,1943.0,grass,61,83,662,72
Slovenia,Goalkeeper,1943.0,grass,61,83,662,80
France,Midfielder,1943.0,grass,61,83,662,70
France,Goalkeeper,1943.0,grass,61,83,662,82
Spain,Midfielder,1943.0,grass,61,83,662,66
France,Defender,1943.0,grass,61,83,662,78
France,Midfielder,1943.0,grass,61,83,662,70
France,Midfielder,1943.0,grass,61,83,662,70
Nigeria,Attacker,1943.0,grass,61,83,662,66
France,Attacker,1943.0,grass,61,83,662,79
France,Midfielder,1943.0,grass,61,83,662,70
France,Midfielder,1943.0,grass,61,83,662,71
France,Defender,1943.0,grass,61,83,662,68
France,Attacker,1943.0,grass,61,83,662,74
France,Midfielder,1943.0,grass,61,83,662,70
Brazil,Defender,1943.0,grass,61,83,662,66
Morocco,Midfielder,1943.0,grass,61,83,662,65
France,Defender,1926.0,artificial turf,61,97,656,76
France,Defender,1926.0,artificial turf,61,97,656,80
France,Midfielder,1926.0,artificial turf,61,97,656,71
Germany,Defender,1926.0,artificial turf,61,97,656,73
France,Defender,1926.0,artificial turf,61,97,656,73
France,Attacker,1926.0,artificial turf,61,97,656,79
Congo DR,Attacker,1926.0,artificial turf,61,97,656,74
France,Midfielder,1926.0,artificial turf,61,97,656,74
Burkina Faso,Attacker,1926.0,artificial turf,61,97,656,71
France,Goalkeeper,1926.0,artificial turf,61,97,656,77
Madagascar,Defender,1926.0,artificial turf,61,97,656,71
France,Defender,1926.0,artificial turf,61,97,656,78
France,Defender,1926.0,artificial turf,61,97,656,76
France,Midfielder,1926.0,artificial turf,61,97,656,75
France,Attacker,1926.0,artificial turf,61,97,656,70
Austria,Attacker,1926.0,artificial turf,61,97,656,82
France,Attacker,1926.0,artificial turf,61,97,656,76
France,Defender,1926.0,artificial turf,61,97,656,68
Senegal,Attacker,1926.0,artificial turf,61,97,656,69
France,Defender,1926.0,artificial turf,61,97,656,85
Nigeria,Attacker,1926.0,artificial turf,61,97,656,87
France,Goalkeeper,1926.0,artificial turf,61,97,656,81
Brazil,Defender,1926.0,artificial turf,61,97,656,66
France,Goalkeeper,1926.0,artificial turf,61,97,656,70
France,Defender,1926.0,artificial turf,61,97,656,69
France,Defender,1926.0,artificial turf,61,97,656,82
Nigeria,Midfielder,1926.0,artificial turf,61,97,656,74
France,Midfielder,1926.0,artificial turf,61,97,656,70
France,Midfielder,1926.0,artificial turf,61,97,656,65
Côte d'Ivoire,Midfielder,1926.0,artificial turf,61,97,656,58
Mali,Attacker,1926.0,artificial turf,61,97,656,75
France,Defender,1926.0,artificial turf,61,97,656,78
Côte d'Ivoire,Midfielder,1926.0,artificial turf,61,97,656,78
France,Goalkeeper,1926.0,artificial turf,61,97,656,81
France,Midfielder,1926.0,artificial turf,61,97,656,83
France,Defender,1926.0,artificial turf,61,97,656,80
France,Defender,1926.0,artificial turf,61,97,656,73
France,Attacker,1926.0,artificial turf,61,97,656,72
Brazil,Defender,1974.0,grass,61,82,660,78
Cameroon,Defender,1974.0,grass,61,82,660,68
Serbia,Attacker,1974.0,grass,61,82,660,89
Cameroon,Defender,1974.0,grass,61,82,660,75
Switzerland,Goalkeeper,1974.0,grass,61,82,660,80
France,Defender,1974.0,grass,61,82,660,72
France,Midfielder,1974.0,grass,61,82,660,77
Switzerland,Midfielder,1974.0,grass,61,82,660,70
Serbia,Defender,1974.0,grass,61,82,660,75
France,Defender,1974.0,grass,61,82,660,73
France,Goalkeeper,1974.0,grass,61,82,660,85
Portugal,Defender,1974.0,grass,61,82,660,78
Portugal,Goalkeeper,1974.0,grass,61,82,660,80
France,Defender,1974.0,grass,61,82,660,68
Cameroon,Defender,1974.0,grass,61,82,660,75
France,Defender,1974.0,grass,61,82,660,87
France,Defender,1974.0,grass,61,82,660,73
England,Attacker,1974.0,grass,61,82,660,71
France,Attacker,1974.0,grass,61,82,660,75
Uruguay,Defender,1974.0,grass,61,82,660,80
France,Defender,1974.0,grass,61,82,660,83
France,Midfielder,1974.0,grass,61,82,660,82
France,Midfielder,1974.0,grass,61,82,660,73
France,Midfielder,1974.0,grass,61,82,660,69
France,Midfielder,1974.0,grass,61,82,660,70
France,Attacker,1974.0,grass,61,82,660,74
Algeria,Attacker,1974.0,grass,61,82,660,75
Congo,Attacker,1974.0,grass,61,82,660,73
France,Attacker,1974.0,grass,61,82,660,65
France,Midfielder,1974.0,grass,61,82,660,67
France,Attacker,1974.0,grass,61,82,660,81
Algeria,Attacker,1974.0,grass,61,82,660,82
France,Midfielder,1974.0,grass,61,82,660,68
France,Defender,1974.0,grass,61,82,660,72
Brazil,Defender,1974.0,grass,61,82,660,86
USA,Attacker,1974.0,grass,61,82,660,72
Guinea,Attacker,1906.0,grass,61,116,654,58
Portugal,Goalkeeper,1906.0,grass,61,116,654,75
France,Midfielder,1906.0,grass,61,116,654,72
France,Defender,1906.0,grass,61,116,654,76
Mali,Midfielder,1906.0,grass,61,116,654,73
France,Attacker,1906.0,grass,61,116,654,72
Mali,Midfielder,1906.0,grass,61,116,654,79
Algeria,Midfielder,1906.0,grass,61,116,654,67
Senegal,Midfielder,1906.0,grass,61,116,654,75
France,Attacker,1906.0,grass,61,116,654,77
France,Midfielder,1906.0,grass,61,116,654,65
France,Midfielder,1906.0,grass,61,116,654,72
France,Defender,1906.0,grass,61,116,654,69
Venezuela,Goalkeeper,1906.0,grass,61,116,654,74
France,Goalkeeper,1906.0,grass,61,116,654,75
Austria,Defender,1906.0,grass,61,116,654,89
Comoros,Goalkeeper,1906.0,grass,61,116,654,75
Mali,Defender,1906.0,grass,61,116,654,76
Argentina,Defender,1906.0,grass,61,116,654,78
Cape Verde,Defender,1906.0,grass,61,116,654,85
France,Attacker,1906.0,grass,61,116,654,77
France,Defender,1906.0,grass,61,116,654,75
France,Attacker,1906.0,grass,61,116,654,75
Côte d'Ivoire,Midfielder,1906.0,grass,61,116,654,74
Comoros,Defender,1906.0,grass,61,116,654,68
Portugal,Midfielder,1906.0,grass,61,116,654,63
France,Defender,1906.0,grass,61,116,654,77
France,Midfielder,1906.0,grass,61,116,654,70
