team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,player_id,season_id
90,Guingamp,https://media-2.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2015,33,33,2921,,Midfielder,7.112121,False,0,1,0,25,12,6,0,2,,1115,19,60,94,7,75,396,221,65,51,,48,53,9,0,2,,,0,0,,1270,2015
110,Estac Troyes,https://media-1.api-sports.io/football/teams/110.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2015,34,27,2431,,Midfielder,6.673529,False,7,8,8,33,11,3,,4,,1176,36,80,76,3,40,372,145,25,12,,43,42,6,0,0,,,3,0,,20584,2015
90,Guingamp,https://media-2.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2015,16,16,1384,,Defender,6.918750,False,0,2,0,5,3,0,,3,,448,11,74,41,4,55,129,76,11,6,,7,17,3,0,0,,1,0,0,,20626,2015
110,Estac Troyes,https://media-3.api-sports.io/football/teams/110.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2015,11,11,902,,Defender,6.918750,False,0,3,0,5,3,0,,3,,448,11,74,41,4,55,129,76,11,6,,7,17,4,0,0,,1,0,0,,20626,2015
110,Estac Troyes,https://media-1.api-sports.io/football/teams/110.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2015,28,28,2419,,Defender,6.946428,False,0,3,0,8,2,0,0,,,954,5,66,46,31,85,172,109,16,15,,13,14,3,0,0,,,0,0,,20631,2015
90,Guingamp,https://media-3.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2015,34,34,3031,,Defender,7.073529,False,0,1,0,9,2,2,0,,,1131,1,64,53,24,84,214,158,8,7,,40,21,2,0,0,,2,0,0,,21493,2015
110,Estac Troyes,https://media-3.api-sports.io/football/teams/110.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2015,17,14,1063,,Defender,6.350000,False,3,5,7,6,1,0,,,,354,4,74,25,4,23,105,62,12,10,,13,16,3,0,1,,2,0,0,,21632,2015
77,Angers,https://media-1.api-sports.io/football/teams/77.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2015,23,12,1243,,Defender,6.613043,False,11,4,17,7,4,2,0,,,326,9,56,23,2,24,143,66,39,14,,20,9,2,0,0,1,,0,0,,21697,2015
88,Caen,https://media-2.api-sports.io/football/teams/88.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2015,0,0,0,,Midfielder,,False,0,0,3,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,24286,2015
78,Bordeaux,https://media-3.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2015,25,24,2113,,Defender,7.004166,False,1,1,4,13,5,2,0,,,759,16,69,74,6,65,227,145,14,11,,40,17,4,0,0,,,0,0,,25451,2015
78,Bordeaux,https://media-2.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2015,13,11,923,,Defender,6.853846,False,2,2,8,3,1,0,,,,434,2,83,22,5,30,96,67,3,2,,7,9,4,0,1,,1,0,0,,50927,2015
88,Caen,https://media-2.api-sports.io/football/teams/88.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2015,38,38,3420,,Goalkeeper,6.926315,False,0,0,0,0,0,0,52,,124,496,0,53,1,0,1,13,11,1,1,,4,0,2,0,0,,,0,0,0,85676,2015
94,Rennes,https://media-1.api-sports.io/football/teams/94.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2015,12,8,623,,Midfielder,6.675000,False,4,8,4,10,3,2,,,,335,10,86,,,4,73,33,7,7,,9,6,0,0,0,,,0,0,,87057,2015
90,Guingamp,https://media-1.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2015,20,17,1382,,Midfielder,6.640000,False,3,3,4,11,2,0,,1,,601,8,74,44,1,14,180,97,3,3,,24,27,6,0,1,,,0,0,,87079,2015
