player_id,player_name,player_firstname,player_lastname,player_age,player_birth_date,player_birth_place,player_birth_country,player_nationality,player_height,player_weight,player_injured,player_photo,league_id,season_id
311,O. Karnezis,Orestis Spyridon,Karnezis,37.0,1985-07-11,Athina,Greece,Greece,189 cm,79 kg,False,https://media-2.api-sports.io/football/players/311.png,61,2020
1263,Maxime Poundjé,Maxime,Poundjé,30.0,1992-08-16,Bordeaux,France,France,180 cm,74 kg,False,https://media-1.api-sports.io/football/players/1263.png,61,2020
1273,Jimmy Briand,Jimmy,Briand,37.0,1985-08-02,Vitry sur Seine,France,France,181 cm,84 kg,False,https://media-3.api-sports.io/football/players/1273.png,61,2020
2205,H. Ben Arfa,Hatem,Ben Arfa,35.0,1987-03-07,Clamart,France,France,178 cm,65 kg,False,https://media-1.api-sports.io/football/players/2205.png,61,2020
2987,Dialy Kobaly Ndiaye,Dialy Kobaly,Ndiaye,23.0,1999-07-04,Bignona,Senegal,Senegal,193 cm,79 kg,False,https://media-1.api-sports.io/football/players/2987.png,61,2020
3344,Kalifa Coulibaly,Kalifa,Coulibaly,32.0,1991-08-21,Bamako,Mali,Mali,197 cm,84 kg,False,https://media-1.api-sports.io/football/players/3344.png,61,2020
8664,Yoann Etienne,Yoann,Etienne,25.0,1997-05-19,Paris,France,France,174 cm,69 kg,False,https://media-3.api-sports.io/football/players/8664.png,61,2020
19295,M. Wagué,Molla,Wagué,31.0,1991-02-21,Verdon,France,Mali,191 cm,87 kg,False,https://media-2.api-sports.io/football/players/19295.png,61,2020
20631,M. Saunier,Matthieu Serge Fernand,Saunier,31.0,1990-02-07,Hyères,France,France,182 cm,76 kg,False,https://media-3.api-sports.io/football/players/20631.png,61,2020
20940,M. Cabit,Manuel,Cabit,29.0,1993-06-03,Fort de France,Martinique,Martinique,182 cm,75 kg,False,https://media-3.api-sports.io/football/players/20940.png,61,2020
21571,Hilton,Vitorino,Hilton da Silva,44.0,1977-09-13,Brasília,Brazil,Brazil,180 cm,78 kg,False,https://media-2.api-sports.io/football/players/21571.png,61,2020
21572,Ambroise Oyongo Bitolo,Ambroise,Oyongo Bitolo,31.0,1991-06-22,Ndikinimeki,Cameroon,Cameroon,170 cm,68 kg,False,https://media-3.api-sports.io/football/players/21572.png,61,2020
21594,Petar Škuletić,Petar,Škuletić,32.0,1990-06-29,Danilovgrad,Serbia,Serbia,193 cm,89 kg,False,https://media-1.api-sports.io/football/players/21594.png,61,2020
22143,Yannick Cahuzac,Yannick,Cahuzac,37.0,1985-01-18,Ajaccio,France,France,178 cm,72 kg,False,https://media-1.api-sports.io/football/players/22143.png,61,2020
22162,R. Coly,Racine,Coly,27.0,1995-12-08,Dakar,Senegal,Senegal,185 cm,70 kg,False,https://media-2.api-sports.io/football/players/22162.png,61,2020
90488,Y. Cabaye,Yohan,Cabaye,35.0,1986-01-14,Tourcoing,France,France,174 cm,71 kg,False,https://media-2.api-sports.io/football/players/90488.png,61,2020
161890,Fadiga Ouattara,Fadiga,Ouattara,20.0,2001-01-18,,France,France,,,False,https://media-1.api-sports.io/football/players/161890.png,61,2020
162532,Y. Saidani,Yanis,Saidani,20.0,2001-08-20,,France,France,,,False,https://media-1.api-sports.io/football/players/162532.png,61,2020
274302,Valentin Salatiel Decarpentrie,Valentin Salatiel,Decarpentrie,21.0,2002-01-06,,France,France,,,False,https://media-2.api-sports.io/football/players/274302.png,61,2020
296845,Mamadou Simbakoli,Mamadou,Simbakoli,20.0,2001-04-19,,France,France,,,False,https://media-2.api-sports.io/football/players/296845.png,61,2020
