player_id,player_name,player_firstname,player_lastname,player_age,player_birth_date,player_birth_place,player_birth_country,player_nationality,player_height,player_weight,player_injured,player_photo,league_id,season_id
1270,Y. Sankharé,Younousse,Sankharé,33.0,1989-09-10,Sarcelles,France,Senegal,184 cm,80 kg,False,https://media-3.api-sports.io/football/players/1270.png,61,2014
21493,J. Sorbon,Jérémy,Sorbon,38.0,1983-08-05,Caen,France,France,183 cm,79 kg,False,https://media-1.api-sports.io/football/players/21493.png,61,2014
21632,M. Dabo,Mouhamadou,Dabo,35.0,1986-11-28,Dakar,Senegal,France,176 cm,65 kg,False,https://media-3.api-sports.io/football/players/21632.png,61,2014
21706,F. Balmont,Florent,Balmont,41.0,1980-02-02,Sainte-Foy-lès-Lyon,France,France,168 cm,72 kg,False,https://media-2.api-sports.io/football/players/21706.png,61,2014
25451,D. Contento,Diego Armando Valentin,Contento,31.0,1990-05-01,München,Germany,Germany,177 cm,74 kg,False,https://media-2.api-sports.io/football/players/25451.png,61,2014
50927,L. Sané,Ludovic Lamine,Sané,33.0,1987-03-22,Villeneuve-sur-Lot,France,Senegal,192 cm,77 kg,False,https://media-1.api-sports.io/football/players/50927.png,61,2014
85676,R. Vercoutre,Rémy,Vercoutre,41.0,1980-06-26,Grande-Synthe,France,France,185 cm,78 kg,False,https://media-3.api-sports.io/football/players/85676.png,61,2014
87057,Yoann  Gourcuff,Yoann,Gourcuff,33.0,1986-07-11,Ploemeur,France,France,185 cm,82 kg,False,https://media-2.api-sports.io/football/players/87057.png,61,2014
87079,L. Mathis,Lionel,Mathis,40.0,1981-10-04,Montreuil-sous-Bois,France,France,174 cm,70 kg,False,https://media-3.api-sports.io/football/players/87079.png,61,2014
87205,Jordan Boy,Jordan,Boy,24.0,1994-03-20,Cluses,France,France,185 cm,75 kg,False,https://media-2.api-sports.io/football/players/87205.png,61,2014
87224,Abdou Traoré,Abdoulaye,Traoré,33.0,1988-01-17,Bamako,Mali,Mali,180 cm,82 kg,False,https://media-1.api-sports.io/football/players/87224.png,61,2014
87351,C. Mongongu,Cédric,Mongongu,32.0,1989-06-22,Kinshasa,Congo DR,Congo DR,188 cm,82 kg,False,https://media-2.api-sports.io/football/players/87351.png,61,2014
104091,Djakaridja Koné,Djakaridja,Koné,30.0,1986-07-22,Abidjan,Côte d'Ivoire,Burkina Faso,179 cm,79 kg,False,https://media-3.api-sports.io/football/players/104091.png,61,2014
105389,B. Cheyrou,Benoît,Cheyrou,40.0,1981-05-03,Suresnes,France,France,183 cm,79 kg,False,https://media-3.api-sports.io/football/players/105389.png,61,2014
107468,Zakariya Abarouai,Zakariya,Abarouai,25.0,1994-03-30,Lyon,France,France,182 cm,74 kg,False,https://media-1.api-sports.io/football/players/107468.png,61,2014
113608,Jussiê,Jussiê,Ferreira Vieira,38.0,1983-09-19,Nova Venécia,Brazil,Brazil,181 cm,81 kg,False,https://media-1.api-sports.io/football/players/113608.png,61,2014
113629,Baba Traore,Baba,Traore,25.0,1996-02-21,Montreuil,France,Mali,181 cm,63 kg,False,https://media-2.api-sports.io/football/players/113629.png,61,2014
113647,M. Planus,Marc,Planus,39.0,1982-03-07,Bordeaux,France,France,180 cm,82 kg,False,https://media-1.api-sports.io/football/players/113647.png,61,2014
113649,J. Saez,José,Saez,39.0,1982-05-07,Menen,Belgium,France,173 cm,63 kg,False,https://media-3.api-sports.io/football/players/113649.png,61,2014
113659,Johann Durand,Johann,Durand,39.0,1981-06-17,Evian,France,France,182 cm,71 kg,False,https://media-2.api-sports.io/football/players/113659.png,61,2014
100,Andrea Raggi,Andrea,Raggi,35.0,1984-06-24,La Spezia,Italy,Italy,187 cm,82 kg,False,https://media-3.api-sports.io/football/players/100.png,61,2014
1013,G. Sertic,Grégory,Sertic,31.0,1989-08-05,Brétigny sur Orge,France,France,183 cm,76 kg,False,https://media-3.api-sports.io/football/players/1013.png,61,2014
21494,F. Tabanou,Franck,Tabanou,32.0,1989-01-30,Thiais,France,France,178 cm,78 kg,False,https://media-3.api-sports.io/football/players/21494.png,61,2014
21500,É. Didot,Étienne,Didot,38.0,1983-07-24,Paimpol,France,France,178 cm,65 kg,False,https://media-3.api-sports.io/football/players/21500.png,61,2014
21571,Hilton,Vitorino,Hilton da Silva,44.0,1977-09-13,Brasília,Brazil,Brazil,180 cm,78 kg,False,https://media-2.api-sports.io/football/players/21571.png,61,2014
21590,S. Camara,Souleymane,Camara,39.0,1982-12-22,Dakar,Senegal,Senegal,173 cm,74 kg,False,https://media-1.api-sports.io/football/players/21590.png,61,2014
22083,S. Ruffier,Stéphane,Ruffier,35.0,1986-09-27,Bayonne,France,France,188 cm,93 kg,False,https://media-2.api-sports.io/football/players/22083.png,61,2014
23472,Steeven Harrison,Steeven,Harrison,29.0,1992-12-13,Harfleur,France,France,182 cm,71 kg,False,https://media-1.api-sports.io/football/players/23472.png,61,2014
41745,Pedrinho,Pedro Miguel,da Silva Rocha,36.0,1985-03-06,Vila do Conde,Portugal,Portugal,175 cm,72 kg,False,https://media-1.api-sports.io/football/players/41745.png,61,2014
50062,Olivier Veigneau,Olivier,Veigneau,36.0,1985-07-16,Suresnes,France,France,176 cm,69 kg,False,https://media-1.api-sports.io/football/players/50062.png,61,2014
59986,M. Sougou,Pape Amodou,Sougou,37.0,1984-12-18,Fissel,Senegal,Senegal,178 cm,68 kg,False,https://media-2.api-sports.io/football/players/59986.png,61,2014
79086,D. Rozehnal,David,Rozehnal,41.0,1980-07-05,Šternberk,Czech Republic,Czech Republic,191 cm,80 kg,False,https://media-2.api-sports.io/football/players/79086.png,61,2014
87166,V. Enyeama,Vincent,Enyeama,39.0,1982-08-29,Kaduna,Nigeria,Nigeria,182 cm,87 kg,False,https://media-3.api-sports.io/football/players/87166.png,61,2014
90488,Y. Cabaye,Yohan,Cabaye,35.0,1986-01-14,Tourcoing,France,France,174 cm,71 kg,False,https://media-1.api-sports.io/football/players/90488.png,61,2014
90602,Jonathan Correia Da Fonseca,Jonathan,Correia Da Fonseca,24.0,1994-02-13,Monaco,Monaco,France,175 cm,65 kg,False,https://media-3.api-sports.io/football/players/90602.png,61,2014
105282,J. Makoun,Jean II,Makoun,38.0,1983-05-29,Yaoundé,Cameroon,Cameroon,173 cm,69 kg,False,https://media-3.api-sports.io/football/players/105282.png,61,2014
111423,J. Audel,Johan,Audel,38.0,1983-12-12,Nice,France,Martinique,180 cm,73 kg,False,https://media-3.api-sports.io/football/players/111423.png,61,2014
113639,Dimitar Ivanov Berbatov,Dimitar,Ivanov Berbatov,37.0,1981-01-30,Blagoevgrad,Bulgaria,Bulgaria,188 cm,79 kg,False,https://media-1.api-sports.io/football/players/113639.png,61,2014
113657,Paulo Henriques de Pinho,Paulo,Henriques de Pinho,25.0,1997-02-11,,France,France,,,False,https://media-2.api-sports.io/football/players/113657.png,61,2014
113690,Bertrand Laquait,Bertrand,Laquait,38.0,1977-04-13,Vichy,France,France,185 cm,80 kg,False,https://media-1.api-sports.io/football/players/113690.png,61,2014
93,S. Sy,Seydou,Sy,26.0,1995-12-12,Dakar,Senegal,Senegal,192 cm,84 kg,False,https://media-2.api-sports.io/football/players/93.png,61,2014
1816,G. Fernandes,Gélson da Conceição Tavares,Fernandes,35.0,1986-09-02,Praia,Cape Verde Islands,Switzerland,179 cm,70 kg,False,https://media-3.api-sports.io/football/players/1816.png,61,2014
13093,E. Lavezzi,Ezequiel Iván,Lavezzi,36.0,1985-05-03,Rosario,Argentina,Argentina,173 cm,75 kg,False,https://media-1.api-sports.io/football/players/13093.png,61,2014
20578,O. Vizcarrondo,Oswaldo Augusto,Vizcarrondo Araújo,37.0,1984-05-31,Caracas,Venezuela,Venezuela,191 cm,85 kg,False,https://media-3.api-sports.io/football/players/20578.png,61,2014
22088,L. Perrin,Loïc,Perrin,36.0,1985-08-07,Saint-Etienne,France,France,181 cm,80 kg,False,https://media-3.api-sports.io/football/players/22088.png,61,2014
28434,D. N&apos;Gog,David,N'Gog,32.0,1989-04-01,Gennevilliers,France,France,190 cm,76 kg,False,https://media-3.api-sports.io/football/players/28434.png,61,2014
47224,Abdelaziz Barrada,Abdelaziz,Barrada,32.0,1989-06-19,Provins,France,Morocco,179 cm,73 kg,False,https://media-3.api-sports.io/football/players/47224.png,61,2014
50808,G. van der Wiel,Gregory,van der Wiel,33.0,1988-02-03,Amsterdam,Netherlands,Netherlands,183 cm,69 kg,False,https://media-1.api-sports.io/football/players/50808.png,61,2014
50975,Mathieu Deplagne,Mathieu,Deplagne,31.0,1991-10-01,Montpellier,France,France,183 cm,79 kg,False,https://media-1.api-sports.io/football/players/50975.png,61,2014
59718,Víctor Hugo Montaño Caicedo,Víctor Hugo,Montaño Caicedo,36.0,1984-05-01,Cali,Colombia,Colombia,178 cm,75 kg,False,https://media-3.api-sports.io/football/players/59718.png,61,2014
85062,Thiago Motta,Thiago,Motta,36.0,1982-08-28,São Bernardo do Campo,Brazil,Italy,187 cm,83 kg,False,https://media-3.api-sports.io/football/players/85062.png,61,2014
87078,R. Fanni,Rod,Fanni,40.0,1981-12-06,Martigues,France,France,186 cm,81 kg,False,https://media-2.api-sports.io/football/players/87078.png,61,2014
87211,Maxwell Scherrer Cabelino Andrade,Maxwell,Scherrer Cabelino Andrade,36.0,1981-08-27,Cachoeiro de Itapermirim,Brazil,Brazil,176 cm,73 kg,False,https://media-1.api-sports.io/football/players/87211.png,61,2014
87362,S. Armand,Sylvain,Armand,41.0,1980-08-01,Saint-Etienne,France,France,182 cm,82 kg,False,https://media-3.api-sports.io/football/players/87362.png,61,2014
89886,André Zambo Anguissa,André Zambo,Anguissa,20.0,1995-11-16,,Cameroon,Cameroon,,,False,https://media-3.api-sports.io/football/players/89886.png,61,2014
104861,D. Digard,Didier,Digard,35.0,1986-07-12,Gisors,France,France,183 cm,76 kg,False,https://media-3.api-sports.io/football/players/104861.png,61,2014
