player_id,player_name,player_firstname,player_lastname,player_age,player_birth_date,player_birth_place,player_birth_country,player_nationality,player_height,player_weight,player_injured,player_photo,league_id,season_id
311,O. Karnezis,Orestis Spyridon,Karnezis,37.0,1985-07-11,Athina,Greece,Greece,189 cm,79 kg,False,https://media-2.api-sports.io/football/players/311.png,61,2021
1273,Jimmy Briand,Jimmy,Briand,37.0,1985-08-02,Vitry sur Seine,France,France,181 cm,84 kg,False,https://media-1.api-sports.io/football/players/1273.png,61,2021
2041,J. Gnagnon,Joris,Gnagnon,25.0,1997-01-13,Bondy,France,France,182 cm,89 kg,False,https://media-3.api-sports.io/football/players/2041.png,61,2021
2205,H. Ben Arfa,Hatem,Ben Arfa,35.0,1987-03-07,Clamart,France,France,178 cm,65 kg,False,https://media-2.api-sports.io/football/players/2205.png,61,2021
3344,Kalifa Coulibaly,Kalifa,Coulibaly,32.0,1991-08-21,Bamako,Mali,Mali,197 cm,84 kg,False,https://media-3.api-sports.io/football/players/3344.png,61,2021
20631,M. Saunier,Matthieu Serge Fernand,Saunier,31.0,1990-02-07,Hyères,France,France,182 cm,76 kg,False,https://media-1.api-sports.io/football/players/20631.png,61,2021
21571,Hilton,Vitorino,Hilton da Silva,44.0,1977-09-13,Brasília,Brazil,Brazil,180 cm,78 kg,False,https://media-2.api-sports.io/football/players/21571.png,61,2021
21572,Ambroise Oyongo Bitolo,Ambroise,Oyongo Bitolo,31.0,1991-06-22,Ndikinimeki,Cameroon,Cameroon,170 cm,68 kg,False,https://media-2.api-sports.io/football/players/21572.png,61,2021
21594,Petar Škuletić,Petar,Škuletić,32.0,1990-06-29,Danilovgrad,Serbia,Serbia,193 cm,89 kg,False,https://media-3.api-sports.io/football/players/21594.png,61,2021
21708,J. Keita,Abdoulaye Jules,Keita,24.0,1998-07-20,Conakry,Guinea,Guinea,168 cm,58 kg,False,https://media-3.api-sports.io/football/players/21708.png,61,2021
22018,Hyun-Jun Suk,Hyun-Jun,Suk,31.0,1991-06-29,Chungju,Korea Republic,Korea Republic,190 cm,82 kg,False,https://media-2.api-sports.io/football/players/22018.png,61,2021
