team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,player_id,season_id
105,Valenciennes,https://media-1.api-sports.io/football/teams/105.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2012,13,11,984,,Midfielder,,False,2,3,7,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,1270,2012
110,Estac Troyes,https://media-3.api-sports.io/football/teams/110.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,14,14,1223,,Defender,,False,0,2,15,,,0,,,,,,,,,,,,,,,,,2,0,0,,,,,,20631,2012
98,Ajaccio,https://media-3.api-sports.io/football/teams/98.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2012,12,9,801,,Attacker,,False,3,3,4,,,3,,,,,,,,,,,,,,,,,2,0,1,,,,,,34103,2012
78,Bordeaux,https://media-1.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2012,33,33,2944,,Defender,,False,0,0,0,,,1,,,,,,,,,,,,,,,,,2,0,1,,,,,,50927,2012
106,Stade Brestois 29,https://media-3.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2012,30,24,1957,,Midfielder,,False,6,12,9,,,1,,,,,,,,,,,,,,,,,4,0,0,,,,,,85833,2012
80,Lyon,https://media-2.api-sports.io/football/teams/80.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2012,18,15,1219,,Midfielder,,False,3,6,9,,,3,,,,,,,,,,,,,,,,,3,0,0,,,,,,87057,2012
78,Bordeaux,https://media-3.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,9,6,532,,Midfielder,,False,3,3,10,,,0,,,,,,,,,,,,,,,,,3,0,0,,,,,,87224,2012
81,Marseille,https://media-1.api-sports.io/football/teams/81.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2012,25,25,2111,,Midfielder,,False,0,6,4,,,2,,,,,,,,,,,,,,,,,2,0,0,,,,,,105389,2012
96,Toulouse,https://media-3.api-sports.io/football/teams/96.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2012,8,4,424,,Attacker,,False,4,1,8,,,3,,,,,,,,,,,,,,,,,2,0,0,,,,,,105490,2012
106,Stade Brestois 29,https://media-3.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,20,17,1482,,Attacker,,False,3,9,3,,,9,,,,,,,,,,,,,,,,,5,0,0,,,,,,105490,2012
78,Bordeaux,https://media-2.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2012,15,9,771,,Attacker,,False,6,6,8,,,1,,,,,,,,,,,,,,,,,1,0,0,,,,,,113608,2012
78,Bordeaux,https://media-2.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2012,28,27,2342,,Defender,,False,1,3,7,,,0,,,,,,,,,,,,,,,,,8,0,0,,,,,,113647,2012
98,Ajaccio,https://media-2.api-sports.io/football/teams/98.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,28,26,2219,,Attacker,,False,2,9,2,,,11,,,,,,,,,,,,,,,,,7,0,0,,,,,,113670,2012
78,Bordeaux,https://media-1.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,0,0,0,,Goalkeeper,,False,0,0,16,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,113689,2012
1063,Saint Etienne,https://media-2.api-sports.io/football/teams/1063.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2012,7,7,608,,Defender,,False,0,1,22,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,113697,2012
96,Toulouse,https://media-2.api-sports.io/football/teams/96.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,17,17,1475,,Defender,,False,0,4,1,,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,113700,2012
78,Bordeaux,https://media-3.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,28,27,2418,,Defender,,False,1,1,3,,,1,,,,,,,,,,,,,,,,,4,0,0,,,,,,113711,2012
106,Stade Brestois 29,https://media-3.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,22,10,797,,Midfielder,,False,12,9,17,,,1,,,,,,,,,,,,,,,,,4,0,0,,,,,,113716,2012
1063,Saint Etienne,https://media-3.api-sports.io/football/teams/1063.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2012,10,1,189,,Midfielder,,False,9,1,13,,,0,,,,,,,,,,,,,,,,,1,1,0,,,,,,113717,2012
85,Paris Saint Germain,https://media-1.api-sports.io/football/teams/85.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2012,0,0,0,,Attacker,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,113760,2012
78,Bordeaux,https://media-2.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,0,0,0,,Goalkeeper,,False,0,0,22,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,113764,2012
110,Estac Troyes,https://media-2.api-sports.io/football/teams/110.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,37,34,2999,,Midfielder,,False,3,12,4,,,10,,,,,,,,,,,,,,,,,6,0,0,,,,,,20584,2012
80,Lyon,https://media-1.api-sports.io/football/teams/80.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,30,29,2571,,Defender,,False,1,2,7,,,0,,,,,,,,,,,,,,,,,3,0,1,,,,,,21632,2012
79,Lille,https://media-1.api-sports.io/football/teams/79.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2012,34,30,2568,,Midfielder,,False,4,12,6,,,2,,,,,,,,,,,,,,,,,7,0,1,,,,,,21706,2012
3006,Evian TG,https://media-2.api-sports.io/football/teams/3006.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2012,35,23,2300,,Attacker,,False,12,6,12,,,6,,,,,,,,,,,,,,,,,9,0,0,,,,,,42357,2012
106,Stade Brestois 29,https://media-1.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2012,0,0,0,,Attacker,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,48616,2012
81,Marseille,https://media-2.api-sports.io/football/teams/81.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2012,14,4,404,,Attacker,,False,10,3,13,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,59986,2012
106,Stade Brestois 29,https://media-1.api-sports.io/football/teams/106.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,1,1,90,,Attacker,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,84635,2012
80,Lyon,https://media-1.api-sports.io/football/teams/80.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2012,31,31,2790,,Goalkeeper,,False,0,0,2,,,0,,,,,,,,,,,,,,,,,2,0,0,,,,,,85676,2012
