player_id,player_name,player_firstname,player_lastname,player_age,player_birth_date,player_birth_place,player_birth_country,player_nationality,player_height,player_weight,player_injured,player_photo,league_id,season_id
1270,Y. Sankharé,Younousse,Sankharé,33,1989-09-10,Sarcelles,France,Senegal,184 cm,80 kg,False,https://media-3.api-sports.io/football/players/1270.png,61,2012
20631,M. Saunier,Matthieu Serge Fernand,Saunier,31,1990-02-07,Hyères,France,France,182 cm,76 kg,False,https://media-3.api-sports.io/football/players/20631.png,61,2012
34103,D. Oliech,Dennis Oguta,Oliech,36,1985-02-02,Nairobi,Kenya,Kenya,181 cm,80 kg,False,https://media-2.api-sports.io/football/players/34103.png,61,2012
50927,L. Sané,Ludovic Lamine,Sané,33,1987-03-22,Villeneuve-sur-Lot,France,Senegal,192 cm,77 kg,False,https://media-1.api-sports.io/football/players/50927.png,61,2012
85833,Bruno Grougi,Bruno,Grougi,38,1983-04-26,Caen,France,France,171 cm,73 kg,False,https://media-1.api-sports.io/football/players/85833.png,61,2012
87057,Yoann  Gourcuff,Yoann,Gourcuff,33,1986-07-11,Ploemeur,France,France,185 cm,82 kg,False,https://media-1.api-sports.io/football/players/87057.png,61,2012
87224,Abdou Traoré,Abdoulaye,Traoré,33,1988-01-17,Bamako,Mali,Mali,180 cm,82 kg,False,https://media-2.api-sports.io/football/players/87224.png,61,2012
105389,B. Cheyrou,Benoît,Cheyrou,40,1981-05-03,Suresnes,France,France,183 cm,79 kg,False,https://media-1.api-sports.io/football/players/105389.png,61,2012
105490,Eden Ben Basat,Eden,Ben Basat,35,1986-09-08,Kiryat Haim,Israel,Israel,184 cm,75 kg,False,https://media-1.api-sports.io/football/players/105490.png,61,2012
113608,Jussiê,Jussiê,Ferreira Vieira,38,1983-09-19,Nova Venécia,Brazil,Brazil,181 cm,81 kg,False,https://media-3.api-sports.io/football/players/113608.png,61,2012
113647,M. Planus,Marc,Planus,39,1982-03-07,Bordeaux,France,France,180 cm,82 kg,False,https://media-2.api-sports.io/football/players/113647.png,61,2012
113670,Adrian Mutu,Adrian,Mutu,37,1979-01-08,Calinesti,Romania,Romania,180 cm,79 kg,False,https://media-3.api-sports.io/football/players/113670.png,61,2012
113689,Kévin Jacques Olimpa,Kévin Jacques,Olimpa,32,1988-03-10,Paris,France,Martinique,186 cm,92 kg,False,https://media-2.api-sports.io/football/players/113689.png,61,2012
113697,J. Mignot,Jean-Pascal,Mignot,40,1981-02-26,Rouen,France,France,184 cm,82 kg,False,https://media-2.api-sports.io/football/players/113697.png,61,2012
113700,J. Zebina,Jonathan,Zebina,43,1978-07-19,Paris,France,France,184 cm,81 kg,False,https://media-1.api-sports.io/football/players/113700.png,61,2012
113711,B. Trémoulinas,Benoît,Trémoulinas,36,1985-12-28,Bordeaux,France,France,172 cm,65 kg,False,https://media-3.api-sports.io/football/players/113711.png,61,2012
113716,Geoffrey Dernis,Geoffrey,Dernis,41,1980-12-24,Grande-Synthe,France,France,171 cm,66 kg,False,https://media-3.api-sports.io/football/players/113716.png,61,2012
113717,A. Alonso,Alejandro César,Alonso,39,1982-03-03,Buenos Aires,Argentina,Argentina,170 cm,68 kg,False,https://media-3.api-sports.io/football/players/113717.png,61,2012
113760,P. Luyindula,Pegúy Makanda,Luyindula,42,1979-05-25,Kinshasa,Congo DR,France,178 cm,72 kg,False,https://media-3.api-sports.io/football/players/113760.png,61,2012
113764,Abdoulaye Keita,Abdoulaye,Keita,25,1990-08-19,Paris,France,France,188 cm,89 kg,False,https://media-3.api-sports.io/football/players/113764.png,61,2012
20584,B. Nivet,Benjamin,Nivet,44,1977-01-02,Chartres,France,France,178 cm,75 kg,False,https://media-1.api-sports.io/football/players/20584.png,61,2012
21632,M. Dabo,Mouhamadou,Dabo,35,1986-11-28,Dakar,Senegal,France,176 cm,65 kg,False,https://media-1.api-sports.io/football/players/21632.png,61,2012
21706,F. Balmont,Florent,Balmont,41,1980-02-02,Sainte-Foy-lès-Lyon,France,France,168 cm,72 kg,False,https://media-3.api-sports.io/football/players/21706.png,61,2012
42357,Yannick Anister Sagbo-Latte,Yannick Anister,Sagbo-Latte,33,1988-04-12,Marseille,France,Côte d'Ivoire,178 cm,71 kg,False,https://media-3.api-sports.io/football/players/42357.png,61,2012
48616,A. Alphonse,Alexandre,Alphonse,39,1982-06-17,Paris,France,Guadeloupe,176 cm,76 kg,False,https://media-1.api-sports.io/football/players/48616.png,61,2012
59986,M. Sougou,Pape Amodou,Sougou,37,1984-12-18,Fissel,Senegal,Senegal,178 cm,68 kg,False,https://media-2.api-sports.io/football/players/59986.png,61,2012
84635,Florian Julien,Florian,Julien,29,1993-07-27,Brest,France,France,188 cm,81 kg,False,https://media-3.api-sports.io/football/players/84635.png,61,2012
85676,R. Vercoutre,Rémy,Vercoutre,41,1980-06-26,Grande-Synthe,France,France,185 cm,78 kg,False,https://media-3.api-sports.io/football/players/85676.png,61,2012
87351,C. Mongongu,Cédric,Mongongu,32,1989-06-22,Kinshasa,Congo DR,Congo DR,188 cm,82 kg,False,https://media-2.api-sports.io/football/players/87351.png,61,2012
104091,Djakaridja Koné,Djakaridja,Koné,30,1986-07-22,Abidjan,Côte d'Ivoire,Burkina Faso,179 cm,79 kg,False,https://media-1.api-sports.io/football/players/104091.png,61,2012
113649,J. Saez,José,Saez,39,1982-05-07,Menen,Belgium,France,173 cm,63 kg,False,https://media-2.api-sports.io/football/players/113649.png,61,2012
113659,Johann Durand,Johann,Durand,39,1981-06-17,Evian,France,France,182 cm,71 kg,False,https://media-3.api-sports.io/football/players/113659.png,61,2012
113718,Granddi N'Goyi,Granddi,N'Goyi,34,1988-05-17,Melun,France,Congo DR,186 cm,77 kg,False,https://media-3.api-sports.io/football/players/113718.png,61,2012
113726,John Jairo Culma,John Jairo,Culma,32,1981-03-17,Cali,Colombia,Colombia,181 cm,78 kg,False,https://media-3.api-sports.io/football/players/113726.png,61,2012
113750,Brahim Ferradj,Brahim,Ferradj,30,1987-09-04,Saint-Etienne,France,Algeria,172 cm,82 kg,False,https://media-1.api-sports.io/football/players/113750.png,61,2012
113754,Florian Jarjat,Florian,Jarjat,35,1980-02-18,Valence,France,France,181 cm,74 kg,False,https://media-1.api-sports.io/football/players/113754.png,61,2012
113758,Grégory Bettiol,Grégory,Bettiol,29,1986-03-30,Villefranche-sur-Saône,France,France,180 cm,79 kg,False,https://media-3.api-sports.io/football/players/113758.png,61,2012
113779,Maxime Medaglia,Maxime,Medaglia,31,1991-02-06,Marnaz,France,France,,,False,https://media-2.api-sports.io/football/players/113779.png,61,2012
113784,Victor Rousseau,Victor,Rousseau,30,1992-07-09,Rennes,France,France,,,False,https://media-3.api-sports.io/football/players/113784.png,61,2012
113826,Tomáš Mičola,Tomáš,Mičola,33,1988-09-26,Ostrava,Czech Republic,Czech Republic,178 cm,75 kg,False,https://media-1.api-sports.io/football/players/113826.png,61,2012
1013,G. Sertic,Grégory,Sertic,31,1989-08-05,Brétigny sur Orge,France,France,183 cm,76 kg,False,https://media-2.api-sports.io/football/players/1013.png,61,2012
1555,Innocent Emeghara,Innocent,Emeghara,32,1989-05-27,Lagos,Nigeria,Switzerland,170 cm,68 kg,False,https://media-3.api-sports.io/football/players/1555.png,61,2012
6366,R. Civelli,Renato,Civelli,38,1983-10-14,Pehuajó,Argentina,Argentina,195 cm,89 kg,False,https://media-1.api-sports.io/football/players/6366.png,61,2012
21494,F. Tabanou,Franck,Tabanou,32,1989-01-30,Thiais,France,France,178 cm,78 kg,False,https://media-3.api-sports.io/football/players/21494.png,61,2012
21500,É. Didot,Étienne,Didot,38,1983-07-24,Paimpol,France,France,178 cm,65 kg,False,https://media-2.api-sports.io/football/players/21500.png,61,2012
21571,Hilton,Vitorino,Hilton da Silva,44,1977-09-13,Brasília,Brazil,Brazil,180 cm,78 kg,False,https://media-2.api-sports.io/football/players/21571.png,61,2012
21590,S. Camara,Souleymane,Camara,39,1982-12-22,Dakar,Senegal,Senegal,173 cm,74 kg,False,https://media-1.api-sports.io/football/players/21590.png,61,2012
22083,S. Ruffier,Stéphane,Ruffier,35,1986-09-27,Bayonne,France,France,188 cm,93 kg,False,https://media-2.api-sports.io/football/players/22083.png,61,2012
