team_id,team_name,team_code,team_country,team_founded,team_national,team_logo,venue_id,venue_name,venue_address,venue_city,venue_capacity,venue_surface,venue_image,league_id,season_id
734,Kortrijk,KOR,Belgium,1901.0,False,https://media-1.api-sports.io/football/teams/734.png,182,Guldensporenstadion,"Meensesteenweg 84a / Moorseelsestraat 111b, Heule",Kortrijk,9399,grass,https://media-3.api-sports.io/football/venues/182.png,144,2012
736,Charleroi,CHA,Belgium,1904.0,False,https://media-2.api-sports.io/football/teams/736.png,177,Stade du Pays de Charleroi,Boulevard Zoé Drion 19,Charleroi,18000,grass,https://media-3.api-sports.io/football/venues/177.png,144,2012
737,Lokeren,LOK,Belgium,1915.0,False,https://media-3.api-sports.io/football/teams/737.png,183,Daknamstadion,Daknamstraat 91,Lokeren,12136,grass,https://media-1.api-sports.io/football/venues/183.png,144,2012
738,Waasland-beveren,WAA,Belgium,1936.0,False,https://media-2.api-sports.io/football/teams/738.png,189,Freethielstadion,Stadionplein 1,Beveren,8235,grass,https://media-2.api-sports.io/football/venues/189.png,144,2012
741,Cercle Brugge,CER,Belgium,1899.0,False,https://media-3.api-sports.io/football/teams/741.png,176,Jan Breydelstadion,Olympialaan 74,Brugge,29062,grass,https://media-2.api-sports.io/football/venues/176.png,144,2012
742,Genk,GEN,Belgium,1988.0,False,https://media-2.api-sports.io/football/teams/742.png,12455,Cegeka Arena,"Stadionplein 4, Waterschei",Genk,24956,grass,https://media-1.api-sports.io/football/venues/12455.png,144,2012
1392,Lierse,LIE,Belgium,1906.0,False,https://media-2.api-sports.io/football/teams/1392.png,2664,Herman Vanderpoortenstadion,"Voetbalstraat 4, Lisp",Lier,14538,grass,https://media-3.api-sports.io/football/venues/2664.png,144,2012
4653,Mons,MON,Belgium,1909.0,False,https://media-1.api-sports.io/football/teams/4653.png,3506,Stade Charles Tondreau,Avenue du Tir 80,Mons,9504,grass,https://media-1.api-sports.io/football/venues/3506.png,144,2012
4654,Beerschot,GER,Belgium,1999.0,False,https://media-2.api-sports.io/football/teams/4654.png,3507,Olympisch Stadion,,,12771,grass,https://media-3.api-sports.io/football/venues/3507.png,144,2012
33,Manchester United,MUN,England,1878.0,False,https://media-1.api-sports.io/football/teams/33.png,556,Old Trafford,Sir Matt Busby Way,Manchester,76212,grass,https://media-3.api-sports.io/football/venues/556.png,39,2012
34,Newcastle,NEW,England,1892.0,False,https://media-1.api-sports.io/football/teams/34.png,562,St. James' Park,St. James&apos; Street,Newcastle upon Tyne,52389,grass,https://media-3.api-sports.io/football/venues/562.png,39,2012
36,Fulham,FUL,England,1879.0,False,https://media-2.api-sports.io/football/teams/36.png,535,Craven Cottage,Stevenage Road,London,25700,grass,https://media-2.api-sports.io/football/venues/535.png,39,2012
40,Liverpool,LIV,England,1892.0,False,https://media-2.api-sports.io/football/teams/40.png,550,Anfield,Anfield Road,Liverpool,55212,grass,https://media-3.api-sports.io/football/venues/550.png,39,2012
41,Southampton,SOU,England,1885.0,False,https://media-3.api-sports.io/football/teams/41.png,585,St. Mary's Stadium,Britannia Road,"Southampton, Hampshire",32689,grass,https://media-1.api-sports.io/football/venues/585.png,39,2012
42,Arsenal,ARS,England,1886.0,False,https://media-1.api-sports.io/football/teams/42.png,494,Emirates Stadium,Queensland Road,London,60383,grass,https://media-3.api-sports.io/football/venues/494.png,39,2012
45,Everton,EVE,England,1878.0,False,https://media-1.api-sports.io/football/teams/45.png,8560,Goodison Park,Goodison Road,Liverpool,40569,grass,https://media-1.api-sports.io/football/venues/8560.png,39,2012
47,Tottenham,TOT,England,1882.0,False,https://media-1.api-sports.io/football/teams/47.png,593,Tottenham Hotspur Stadium,"Bill Nicholson Way, 748 High Road",London,62850,grass,https://media-2.api-sports.io/football/venues/593.png,39,2012
48,West Ham,WES,England,1895.0,False,https://media-3.api-sports.io/football/teams/48.png,598,London Stadium,"Marshgate Lane, Stratford",London,62500,grass,https://media-1.api-sports.io/football/venues/598.png,39,2012
49,Chelsea,CHE,England,1905.0,False,https://media-3.api-sports.io/football/teams/49.png,519,Stamford Bridge,Fulham Road,London,41841,grass,https://media-2.api-sports.io/football/venues/519.png,39,2012
50,Manchester City,MAC,England,1880.0,False,https://media-1.api-sports.io/football/teams/50.png,555,Etihad Stadium,Rowsley Street,Manchester,55097,grass,https://media-2.api-sports.io/football/venues/555.png,39,2012
53,Reading,REA,England,1871.0,False,https://media-2.api-sports.io/football/teams/53.png,12052,Select Car Leasing Stadium,"Shooters Way / Junction 11, M4","Reading, Berkshire",24200,grass,https://media-3.api-sports.io/football/venues/12052.png,39,2012
60,West Brom,WES,England,1878.0,False,https://media-2.api-sports.io/football/teams/60.png,597,The Hawthorns,Halfords Lane,West Bromwich,28003,grass,https://media-1.api-sports.io/football/venues/597.png,39,2012
61,Wigan,WIG,England,1932.0,False,https://media-3.api-sports.io/football/teams/61.png,599,DW Stadium,"Robin Park, Loire Drive",Wigan,25138,grass,https://media-2.api-sports.io/football/venues/599.png,39,2012
66,Aston Villa,AST,England,1874.0,False,https://media-2.api-sports.io/football/teams/66.png,495,Villa Park,Trinity Road,Birmingham,42788,grass,https://media-2.api-sports.io/football/venues/495.png,39,2012
71,Norwich,NOR,England,1902.0,False,https://media-3.api-sports.io/football/teams/71.png,565,Carrow Road,Carrow Road,"Norwich, Norfolk",27606,grass,https://media-3.api-sports.io/football/venues/565.png,39,2012
72,QPR,QPR,England,1885.0,False,https://media-3.api-sports.io/football/teams/72.png,18619,Loftus Road,"South Africa Road, Shepherd&apos;s Bush",London,18360,grass,https://media-1.api-sports.io/football/venues/18619.png,39,2012
