team_id,team_name,team_logo,league_id,league_name,league_country,league_logo,league_flag,league_season,games_appearences,games_lineups,games_minutes,games_number,games_position,games_rating,games_captain,substitutes_in,substitutes_out,substitutes_bench,shots_total,shots_on,goals_total,goals_conceded,goals_assists,goals_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,duels_total,duels_won,dribbles_attempts,dribbles_success,dribbles_past,fouls_drawn,fouls_committed,cards_yellow,cards_yellowred,cards_red,penalty_won,penalty_commited,penalty_scored,penalty_missed,penalty_saved,player_id,season_id
78,Bordeaux,https://media-3.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2016,16,15,1391,,Midfielder,7.293750,False,1,1,1,31,9,4,,3,,552,20,81,,,12,181,107,20,14,,16,22,2,0,0,,1,0,0,,1270,2016
79,Lille,https://media-3.api-sports.io/football/teams/79.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2016,21,17,1573,,Midfielder,7.293750,False,4,2,4,31,9,2,,3,,552,20,81,,,12,181,107,20,14,,16,22,3,1,0,,1,0,0,,1270,2016
79,Lille,https://media-2.api-sports.io/football/teams/79.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,13,12,1096,,Defender,7.115384,False,1,0,6,10,3,1,,,,471,2,75,2,0,19,97,69,1,1,,8,9,4,0,0,,,0,0,,6366,2016
90,Guingamp,https://media-1.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,13,12,1011,,Defender,6.869230,False,1,2,4,4,0,0,,,,466,12,80,,,26,108,63,5,5,,9,18,4,1,0,,,0,0,,20626,2016
90,Guingamp,https://media-2.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,33,33,2946,,Defender,7.018181,False,0,1,2,11,3,1,,,,1147,2,86,2,4,55,187,128,16,15,,21,18,1,0,0,,,0,0,,21493,2016
90,Guingamp,https://media-2.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,28,26,2146,,Midfielder,6.942857,False,2,9,3,7,3,1,,1,,1160,38,77,,,36,261,114,20,11,,28,36,6,0,0,,,0,0,,21500,2016
82,Montpellier,https://media-1.api-sports.io/football/teams/82.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,32,32,2807,,Defender,7.100000,False,0,4,0,22,5,1,,,,1200,6,79,2,3,80,201,142,7,6,,24,16,2,0,0,,2,0,0,,21571,2016
88,Caen,https://media-2.api-sports.io/football/teams/88.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,2,2,147,,Defender,6.200000,False,0,1,1,0,0,0,,,,43,1,88,3,0,4,19,9,0,0,,3,6,1,0,0,,1,0,0,,21632,2016
89,Dijon,https://media-2.api-sports.io/football/teams/89.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2016,10,8,753,,Defender,6.500000,False,2,0,9,1,1,0,,,,180,5,66,,,21,104,55,16,7,,13,9,3,1,0,1,,0,0,,21697,2016
89,Dijon,https://media-3.api-sports.io/football/teams/89.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,23,20,1720,,Midfielder,6.769565,False,3,8,3,12,3,0,,2,,970,20,83,2,0,15,208,103,16,11,,37,23,7,0,0,,1,0,0,,21706,2016
88,Caen,https://media-1.api-sports.io/football/teams/88.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,0,0,0,,Midfielder,,False,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,24286,2016
78,Bordeaux,https://media-1.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2016,25,24,2104,,Defender,6.992000,False,1,2,9,13,3,0,,1,,651,11,75,,,64,216,135,5,1,,40,32,3,0,0,,,0,0,,25451,2016
88,Caen,https://media-3.api-sports.io/football/teams/88.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2016,34,34,3043,,Goalkeeper,6.617647,False,0,1,0,0,0,0,56,,81,500,1,52,,0,4,16,13,2,2,,5,0,2,0,0,,,0,0,0,85676,2016
89,Dijon,https://media-2.api-sports.io/football/teams/89.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2016,32,32,2796,,Defender,6.931250,False,0,4,0,22,9,3,,,,1016,4,80,2,0,47,273,174,12,11,,41,29,4,1,1,,,0,0,,85694,2016
94,Rennes,https://media-1.api-sports.io/football/teams/94.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,27,27,2299,,Midfielder,7.200000,False,0,8,1,38,9,4,,3,,977,47,80,,,13,253,125,32,20,,39,17,3,0,0,,,0,0,,87057,2016
79,Lille,https://media-2.api-sports.io/football/teams/79.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2016,32,32,2855,,Goalkeeper,6.743750,False,0,1,0,0,0,0,40,,83,547,2,60,,0,4,18,14,2,2,,2,2,4,0,0,,,0,0,1,87166,2016
78,Bordeaux,https://media-1.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,6,0,89,,Midfielder,6.720000,False,6,0,9,1,0,0,,,,71,1,90,,0,0,10,8,2,1,,2,0,0,0,0,,,0,0,,87224,2016
82,Montpellier,https://media-2.api-sports.io/football/teams/82.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2016,3,0,26,,Defender,6.433333,False,3,0,12,0,0,0,,,,11,0,94,,,0,2,1,0,0,,0,0,0,0,0,,,0,0,,87351,2016
90,Guingamp,https://media-2.api-sports.io/football/teams/90.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2016,0,0,0,,Defender,,False,0,0,4,,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,90602,2016
81,Marseille,https://media-3.api-sports.io/football/teams/81.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2016,2,2,130,,Midfielder,,False,0,2,0,,,0,,,,,,,,,,,,,,,,,1,0,0,,,,,,90608,2016
77,Angers,https://media-1.api-sports.io/football/teams/77.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2016,,,,,Midfielder,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113607,2016
91,Monaco,https://media-3.api-sports.io/football/teams/91.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2016,1,1,46,,Goalkeeper,6.700000,False,0,1,0,0,0,0,2,,0,7,0,46,,,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,93,2016
91,Monaco,https://media-2.api-sports.io/football/teams/91.png,61,Ligue 1,France,https://media-3.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,14,11,968,,Defender,6.700000,False,3,3,21,4,2,0,,,,311,3,72,,,13,54,29,3,2,,5,6,0,0,0,,,0,0,,100,2016
81,Marseille,https://media-1.api-sports.io/football/teams/81.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-1.api-sports.io/flags/fr.svg,2016,8,7,653,,Midfielder,6.958823,False,1,0,2,10,3,0,,,,775,8,84,,,21,110,58,5,4,,13,15,0,0,0,,,0,0,,1013,2016
78,Bordeaux,https://media-1.api-sports.io/football/teams/78.png,61,Ligue 1,France,https://media-1.api-sports.io/football/leagues/61.png,https://media-3.api-sports.io/flags/fr.svg,2016,17,15,1366,,Midfielder,6.958823,False,2,2,5,10,3,1,,,,775,8,84,,,21,110,58,5,4,,13,15,2,0,0,,,0,0,,1013,2016
94,Rennes,https://media-2.api-sports.io/football/teams/94.png,61,Ligue 1,France,https://media-2.api-sports.io/football/leagues/61.png,https://media-2.api-sports.io/flags/fr.svg,2016,27,21,1837,,Midfielder,6.792592,False,6,10,14,3,1,0,,,,729,7,83,2,0,36,209,112,6,4,,11,31,7,0,0,,,0,0,,1816,2016
