player_id,player_name,player_firstname,player_lastname,player_age,player_birth_date,player_birth_place,player_birth_country,player_nationality,player_height,player_weight,player_injured,player_photo,league_id,season_id
1270,Y. Sankharé,Younousse,Sankharé,33,1989-09-10,Sarcelles,France,Senegal,184 cm,80 kg,False,https://media-1.api-sports.io/football/players/1270.png,61,2013
20626,J. Martins-Pereira,Jonathan,Martins-Pereira,35,1986-01-30,Bayonne,France,France,182 cm,76 kg,False,https://media-2.api-sports.io/football/players/20626.png,61,2013
21632,M. Dabo,Mouhamadou,Dabo,35,1986-11-28,Dakar,Senegal,France,176 cm,65 kg,False,https://media-1.api-sports.io/football/players/21632.png,61,2013
34103,D. Oliech,Dennis Oguta,Oliech,36,1985-02-02,Nairobi,Kenya,Kenya,181 cm,80 kg,False,https://media-1.api-sports.io/football/players/34103.png,61,2013
50927,L. Sané,Ludovic Lamine,Sané,33,1987-03-22,Villeneuve-sur-Lot,France,Senegal,192 cm,77 kg,False,https://media-3.api-sports.io/football/players/50927.png,61,2013
87057,Yoann  Gourcuff,Yoann,Gourcuff,33,1986-07-11,Ploemeur,France,France,185 cm,82 kg,False,https://media-3.api-sports.io/football/players/87057.png,61,2013
87079,L. Mathis,Lionel,Mathis,40,1981-10-04,Montreuil-sous-Bois,France,France,174 cm,70 kg,False,https://media-1.api-sports.io/football/players/87079.png,61,2013
87224,Abdou Traoré,Abdoulaye,Traoré,33,1988-01-17,Bamako,Mali,Mali,180 cm,82 kg,False,https://media-1.api-sports.io/football/players/87224.png,61,2013
105389,B. Cheyrou,Benoît,Cheyrou,40,1981-05-03,Suresnes,France,France,183 cm,79 kg,False,https://media-2.api-sports.io/football/players/105389.png,61,2013
105490,Eden Ben Basat,Eden,Ben Basat,35,1986-09-08,Kiryat Haim,Israel,Israel,184 cm,75 kg,False,https://media-2.api-sports.io/football/players/105490.png,61,2013
113608,Jussiê,Jussiê,Ferreira Vieira,38,1983-09-19,Nova Venécia,Brazil,Brazil,181 cm,81 kg,False,https://media-3.api-sports.io/football/players/113608.png,61,2013
113647,M. Planus,Marc,Planus,39,1982-03-07,Bordeaux,France,France,180 cm,82 kg,False,https://media-1.api-sports.io/football/players/113647.png,61,2013
113670,Adrian Mutu,Adrian,Mutu,37,1979-01-08,Calinesti,Romania,Romania,180 cm,79 kg,False,https://media-1.api-sports.io/football/players/113670.png,61,2013
113683,C. Hengbart,Cédric,Hengbart,41,1980-07-13,Falaise,France,France,183 cm,73 kg,False,https://media-3.api-sports.io/football/players/113683.png,61,2013
113686,M. Leca,Mickael,Leca,27,1994-07-04,,France,France,,,False,https://media-1.api-sports.io/football/players/113686.png,61,2013
113689,Kévin Jacques Olimpa,Kévin Jacques,Olimpa,32,1988-03-10,Paris,France,Martinique,186 cm,92 kg,False,https://media-1.api-sports.io/football/players/113689.png,61,2013
113697,J. Mignot,Jean-Pascal,Mignot,40,1981-02-26,Rouen,France,France,184 cm,82 kg,False,https://media-3.api-sports.io/football/players/113697.png,61,2013
