,player_age,correct
64840,36.0,0
33099,40.0,0
21430,29.0,1
38045,29.0,1
23509,32.0,1
23731,38.0,1
688,31.0,1
50433,30.0,1
62015,29.0,1
43445,37.0,1
42170,32.0,0
48752,27.0,0
8137,29.0,0
7846,25.0,0
9734,21.0,1
55479,33.0,0
51505,32.0,1
60268,19.0,1
49220,35.0,0
50170,37.0,1
58190,30.0,1
8912,29.0,0
32709,36.0,0
14030,26.0,1
36887,25.0,1
13300,27.0,0
25776,33.0,1
5390,27.0,1
64166,31.0,0
47629,21.0,1
26239,23.0,1
26663,27.0,1
20428,30.0,1
8651,26.0,1
64475,37.0,0
44486,34.0,1
28491,25.0,1
52692,34.0,0
47750,21.0,1
34079,36.0,0
42341,25.0,1
44927,31.0,0
58342,33.0,0
54601,33.0,0
55165,25.0,1
2481,35.0,1
14153,25.0,1
61464,35.0,1
40353,30.0,0
19809,29.0,1
24645,35.0,1
36198,26.0,0
54758,28.0,1
30100,30.0,0
48188,31.0,1
26573,28.0,1
38231,30.0,1
31142,33.0,1
58503,30.0,1
58301,40.0,1
12570,29.0,1
57908,34.0,0
16500,28.0,0
35539,29.0,1
33364,30.0,1
38999,26.0,1
16764,23.0,1
40837,22.0,1
2757,36.0,0
32713,32.0,0
33625,32.0,1
14852,34.0,1
27472,24.0,1
21585,35.0,0
13291,30.0,0
19337,36.0,1
7562,32.0,1
35121,25.0,0
876,21.0,0
13914,22.0,1
15544,31.0,1
33951,37.0,0
13041,32.0,0
54853,30.0,0
39890,35.0,0
37520,26.0,1
40469,21.0,1
23916,38.0,0
48163,33.0,0
25323,32.0,0
13807,27.0,0
43630,29.0,1
46792,25.0,0
18492,34.0,0
41933,26.0,1
4786,36.0,1
2288,33.0,1
15087,34.0,1
24121,32.0,0
5486,19.0,1
24549,37.0,1
44093,29.0,1
25973,31.0,1
38444,29.0,0
38511,39.0,1
27222,29.0,0
50256,26.0,0
19828,32.0,1
6777,22.0,1
21335,26.0,1
53017,37.0,1
608,34.0,1
38063,30.0,0
28377,28.0,1
2209,28.0,1
60293,26.0,1
5365,36.0,1
54887,23.0,1
13271,20.0,1
8743,32.0,0
10589,31.0,1
22273,26.0,0
33597,34.0,1
49357,35.0,0
12998,26.0,0
40645,23.0,1
13072,23.0,1
12301,28.0,1
60243,29.0,1
14709,34.0,0
42389,29.0,0
21564,34.0,1
34174,37.0,0
23984,34.0,1
9600,27.0,1
34145,19.0,1
45832,36.0,1
31565,36.0,1
61962,21.0,1
10398,29.0,0
62037,28.0,1
55039,30.0,1
886,25.0,0
38188,39.0,0
65833,32.0,1
14957,34.0,0
11995,34.0,1
5193,27.0,1
23078,34.0,0
3073,31.0,0
64134,27.0,1
50311,32.0,0
4959,33.0,1
21159,29.0,1
17922,28.0,1
17490,29.0,1
13362,22.0,0
32559,30.0,0
53204,32.0,1
30791,35.0,0
7909,27.0,1
56273,27.0,1
32917,27.0,1
49864,30.0,0
55503,24.0,1
61190,23.0,1
29103,33.0,1
58320,40.0,1
61028,29.0,1
52587,39.0,0
46774,21.0,1
60049,25.0,1
60907,24.0,1
5809,31.0,1
34848,32.0,0
58240,34.0,1
17411,30.0,0
11653,34.0,0
2869,22.0,1
4729,29.0,1
35507,22.0,1
41058,24.0,1
47368,27.0,1
36459,22.0,1
54268,29.0,1
26852,23.0,1
38598,31.0,1
28796,34.0,1
16398,26.0,1
28128,23.0,1
46378,29.0,0
33426,38.0,1
27708,22.0,1
33083,38.0,0
43961,28.0,0
5614,38.0,1
4980,29.0,1
28245,33.0,0
19241,36.0,0
64604,33.0,1
56943,26.0,1
48774,29.0,1
61497,30.0,1
65784,35.0,1
21599,29.0,1
52513,34.0,0
18291,35.0,1
34255,24.0,1
10336,27.0,1
36033,30.0,1
48174,24.0,1
64891,35.0,0
18432,40.0,1
56428,29.0,0
8723,26.0,0
28773,26.0,1
36660,40.0,1
59399,28.0,1
29781,24.0,1
55713,25.0,1
31344,31.0,0
24358,31.0,0
59389,22.0,1
30458,26.0,1
46297,34.0,1
55081,31.0,0
62936,35.0,0
26846,30.0,1
48369,28.0,0
16333,31.0,0
26723,22.0,1
30265,32.0,0
5038,29.0,1
35739,25.0,1
26817,26.0,1
2980,31.0,1
54060,22.0,1
49217,24.0,1
13663,21.0,1
4378,32.0,0
24414,39.0,0
15626,32.0,1
62943,27.0,1
44433,29.0,1
52945,30.0,0
3948,36.0,0
44107,33.0,1
54441,33.0,0
27740,22.0,1
12553,34.0,0
19598,37.0,1
4141,35.0,0
61230,34.0,1
57179,38.0,1
41621,28.0,0
9789,28.0,1
52084,29.0,0
5042,28.0,1
3196,26.0,1
37623,27.0,1
16460,36.0,1
55237,31.0,0
28243,32.0,1
5248,32.0,0
51460,35.0,0
41770,26.0,0
17607,37.0,1
65323,36.0,0
39240,31.0,0
61260,30.0,1
62125,22.0,1
60331,19.0,1
17031,31.0,1
53662,29.0,1
11556,25.0,1
57316,29.0,0
38348,31.0,0
54467,33.0,0
61941,32.0,0
33739,35.0,0
6035,29.0,1
2853,30.0,0
40335,33.0,0
12367,37.0,1
15973,42.0,1
21713,28.0,1
2244,23.0,1
62969,31.0,1
657,33.0,1
60676,28.0,0
55618,28.0,1
20392,29.0,1
16316,34.0,0
34411,25.0,1
58523,34.0,1
27451,32.0,0
39705,38.0,0
6976,22.0,0
25222,36.0,0
64111,34.0,1
53715,26.0,0
57865,29.0,1
64503,36.0,1
37155,28.0,1
4802,38.0,0
46871,24.0,1
44140,35.0,1
41384,26.0,1
43671,29.0,1
7129,25.0,0
46142,32.0,0
20455,23.0,1
11965,33.0,1
28864,26.0,1
46625,27.0,0
20159,26.0,1
41703,26.0,1
50105,35.0,0
6605,30.0,0
46237,32.0,1
5166,32.0,0
1912,26.0,1
49303,27.0,0
8231,24.0,1
34734,24.0,1
29669,31.0,1
11626,31.0,1
32003,33.0,1
55074,30.0,0
53533,26.0,1
49136,24.0,0
3362,26.0,1
3243,35.0,1
51008,34.0,0
40655,27.0,1
60765,29.0,1
19387,34.0,0
31028,36.0,0
44281,34.0,1
35239,25.0,1
28530,33.0,1
22152,35.0,0
19525,39.0,1
35342,24.0,0
22460,27.0,1
50487,28.0,1
48278,39.0,1
7423,22.0,1
55779,25.0,1
25927,31.0,1
10272,35.0,0
21166,23.0,1
61231,35.0,1
14018,25.0,1
3721,35.0,1
25446,38.0,0
47208,24.0,1
2506,27.0,1
6195,41.0,1
42289,24.0,1
15356,36.0,0
38224,31.0,1
5492,34.0,0
38353,25.0,1
57043,26.0,1
