league_id,league_name,league_type,league_logo,country_name,country_code,country_flag
4,Euro Championship,Cup,https://media-3.api-sports.io/football/leagues/4.png,World,,
21,Confederations Cup,Cup,https://media-2.api-sports.io/football/leagues/21.png,World,,
61,Ligue 1,League,https://media-1.api-sports.io/football/leagues/61.png,France,FR,https://media-2.api-sports.io/flags/fr.svg
144,Jupiler Pro League,League,https://media-2.api-sports.io/football/leagues/144.png,Belgium,BE,https://media-3.api-sports.io/flags/be.svg
71,Serie A,League,https://media-1.api-sports.io/football/leagues/71.png,Brazil,BR,https://media-1.api-sports.io/flags/br.svg
39,Premier League,League,https://media-3.api-sports.io/football/leagues/39.png,England,GB,https://media-2.api-sports.io/flags/gb.svg
78,Bundesliga,League,https://media-2.api-sports.io/football/leagues/78.png,Germany,DE,https://media-3.api-sports.io/flags/de.svg
135,Serie A,League,https://media-1.api-sports.io/football/leagues/135.png,Italy,IT,https://media-3.api-sports.io/flags/it.svg
88,Eredivisie,League,https://media-1.api-sports.io/football/leagues/88.png,Netherlands,NL,https://media-3.api-sports.io/flags/nl.svg
94,Primeira Liga,League,https://media-3.api-sports.io/football/leagues/94.png,Portugal,PT,https://media-3.api-sports.io/flags/pt.svg
140,La Liga,League,https://media-1.api-sports.io/football/leagues/140.png,Spain,ES,https://media-2.api-sports.io/flags/es.svg
179,Premiership,League,https://media-2.api-sports.io/football/leagues/179.png,Scotland,GB,https://media-1.api-sports.io/flags/gb.svg
180,Championship,League,https://media-3.api-sports.io/football/leagues/180.png,Scotland,GB,https://media-2.api-sports.io/flags/gb.svg
1,World Cup,Cup,https://media-2.api-sports.io/football/leagues/1.png,World,,
803,Asian Games,Cup,https://media-3.api-sports.io/football/leagues/803.png,World,,
804,Caribbean Cup,Cup,https://media-1.api-sports.io/football/leagues/804.png,World,,
62,Ligue 2,League,https://media-3.api-sports.io/football/leagues/62.png,France,FR,https://media-1.api-sports.io/flags/fr.svg
2,UEFA Champions League,Cup,https://media-1.api-sports.io/football/leagues/2.png,World,,
311,1st Division,League,https://media-2.api-sports.io/football/leagues/311.png,Albania,AL,https://media-1.api-sports.io/flags/al.svg
310,Superliga,League,https://media-2.api-sports.io/football/leagues/310.png,Albania,AL,https://media-2.api-sports.io/flags/al.svg
186,Ligue 1,League,https://media-2.api-sports.io/football/leagues/186.png,Algeria,DZ,https://media-2.api-sports.io/flags/dz.svg
187,Ligue 2,League,https://media-1.api-sports.io/football/leagues/187.png,Algeria,DZ,https://media-1.api-sports.io/flags/dz.svg
586,West Bank Premier League,League,https://media-2.api-sports.io/football/leagues/586.png,Palestine,PS,https://media-2.api-sports.io/flags/ps.svg
588,National League,League,https://media-3.api-sports.io/football/leagues/588.png,Myanmar,MM,https://media-2.api-sports.io/flags/mm.svg
591,Pro League,League,https://media-3.api-sports.io/football/leagues/591.png,Trinidad-And-Tobago,TT,https://media-2.api-sports.io/flags/tt.svg
335,Cup,Cup,https://media-2.api-sports.io/football/leagues/335.png,Ukraine,UA,https://media-2.api-sports.io/flags/ua.svg
336,Druha Liga - Group A,League,https://media-1.api-sports.io/football/leagues/336.png,Ukraine,UA,https://media-2.api-sports.io/flags/ua.svg
334,Persha Liga,League,https://media-1.api-sports.io/football/leagues/334.png,Ukraine,UA,https://media-1.api-sports.io/flags/ua.svg
333,Premier League,League,https://media-2.api-sports.io/football/leagues/333.png,Ukraine,UA,https://media-2.api-sports.io/flags/ua.svg
301,Pro League,League,https://media-1.api-sports.io/football/leagues/301.png,United-Arab-Emirates,AE,https://media-1.api-sports.io/flags/ae.svg
303,Division 1,League,https://media-1.api-sports.io/football/leagues/303.png,United-Arab-Emirates,AE,https://media-1.api-sports.io/flags/ae.svg
302,League Cup,Cup,https://media-2.api-sports.io/football/leagues/302.png,United-Arab-Emirates,AE,https://media-3.api-sports.io/flags/ae.svg
269,Segunda División,League,https://media-2.api-sports.io/football/leagues/269.png,Uruguay,UY,https://media-2.api-sports.io/flags/uy.svg
