id,name,age,number,position,photo,team_id
2489,L. Díaz,26,23.0,Attacker,https://media-3.api-sports.io/football/players/2489.png,40
51617,D. Núñez,24,27.0,Attacker,https://media-2.api-sports.io/football/players/51617.png,40
334729,B. Clark,18,42.0,Attacker,https://media-3.api-sports.io/football/players/334729.png,40
343576,B. Doak,18,50.0,Attacker,https://media-1.api-sports.io/football/players/343576.png,40
284248,M. Frauendorf,19,94.0,Attacker,https://media-1.api-sports.io/football/players/284248.png,40
152977,L. Stewart,21,,Attacker,https://media-3.api-sports.io/football/players/152977.png,40
18935,A. McCarthy,34,1.0,Goalkeeper,https://media-1.api-sports.io/football/players/18935.png,41
2275,W. Caballero,42,13.0,Goalkeeper,https://media-2.api-sports.io/football/players/2275.png,41
105971,G. Bazunu,21,31.0,Goalkeeper,https://media-3.api-sports.io/football/players/105971.png,41
171,K. Walker-Peters,26,2.0,Defender,https://media-3.api-sports.io/football/players/171.png,41
30476,Lyanco,26,4.0,Defender,https://media-1.api-sports.io/football/players/30476.png,41
1902,D. Ćaleta-Car,27,6.0,Defender,https://media-1.api-sports.io/football/players/1902.png,41
19719,J. Bree,26,14.0,Defender,https://media-1.api-sports.io/football/players/19719.png,41
20600,R. Perraud,26,15.0,Defender,https://media-3.api-sports.io/football/players/20600.png,41
158694,V. Livramento,21,21.0,Defender,https://media-3.api-sports.io/football/players/158694.png,41
47480,M. Salisu,24,22.0,Defender,https://media-1.api-sports.io/football/players/47480.png,41
284264,Juan Larios,19,28.0,Defender,https://media-1.api-sports.io/football/players/284264.png,41
2999,J. Bednarek,27,35.0,Defender,https://media-3.api-sports.io/football/players/2999.png,41
25061,A. Bella-Kotchap,22,37.0,Defender,https://media-3.api-sports.io/football/players/25061.png,41
1456,A. Maitland-Niles,26,3.0,Midfielder,https://media-2.api-sports.io/football/players/1456.png,41
19825,J. Aribo,27,7.0,Midfielder,https://media-1.api-sports.io/football/players/19825.png,41
2938,J. Ward-Prowse,29,8.0,Midfielder,https://media-2.api-sports.io/football/players/2938.png,41
18945,S. Armstrong,31,17.0,Midfielder,https://media-1.api-sports.io/football/players/18945.png,41
2114,M. Djenepo,25,19.0,Midfielder,https://media-3.api-sports.io/football/players/2114.png,41
199837,K. Sulemana,21,20.0,Midfielder,https://media-2.api-sports.io/football/players/199837.png,41
18946,M. Elyounoussi,29,24.0,Midfielder,https://media-3.api-sports.io/football/players/18946.png,41
195993,C. Alcaraz,21,26.0,Midfielder,https://media-3.api-sports.io/football/players/195993.png,41
20557,I. Diallo,24,27.0,Midfielder,https://media-2.api-sports.io/football/players/20557.png,41
282125,R. Lavia,19,45.0,Midfielder,https://media-2.api-sports.io/football/players/282125.png,41
284424,D. Edwards,20,,Midfielder,https://media-1.api-sports.io/football/players/284424.png,41
303462,K. Doyle,18,,Midfielder,https://media-3.api-sports.io/football/players/303462.png,41
19484,A. Armstrong,26,9.0,Attacker,https://media-3.api-sports.io/football/players/19484.png,41
19524,C. Adams,27,10.0,Attacker,https://media-3.api-sports.io/football/players/19524.png,41
1330,M. Oršić,31,11.0,Attacker,https://media-3.api-sports.io/football/players/1330.png,41
15812,P. Onuachu,29,12.0,Attacker,https://media-1.api-sports.io/football/players/15812.png,41
190686,S. Mara,21,18.0,Attacker,https://media-3.api-sports.io/football/players/190686.png,41
278085,S. Edozie,20,23.0,Attacker,https://media-1.api-sports.io/football/players/278085.png,41
18769,T. Walcott,34,32.0,Attacker,https://media-2.api-sports.io/football/players/18769.png,41
330982,J. Morgan,17,46.0,Attacker,https://media-2.api-sports.io/football/players/330982.png,41
303460,D. Ballard,18,,Attacker,https://media-3.api-sports.io/football/players/303460.png,41
20355,A. Ramsdale,25,1.0,Goalkeeper,https://media-2.api-sports.io/football/players/20355.png,42
50999,M. Turner,29,30.0,Goalkeeper,https://media-1.api-sports.io/football/players/50999.png,42
